"click here to display the categories","kategorileri göstermek için buraya tıklayınız",Amazon_Core
"No logs are currently available.","Günlük kaydı bulunamadı.",Amazon_Core
--,--,Amazon_Core
"Module version","Modül versiyonu",Amazon_Core
"You entered an invalid Secret Key. Please refresh the page.","Güvenlik Anahtarı hatalı. Lütfen sayfayı yeniden yükleyiniz.",Amazon_Core
"Address country handler %1 must be of type %2","Adres ülke işleyicisi %1, %2 türünde olmalıdır",Amazon_Core
"Amazon could not process your request.","Amazon isteğinizi işleyemedi.",Amazon_Core
"No Simulation","Simülasyon yok",Amazon_Core
"Authorization soft decline","Ödeme onayı yumuşak red",Amazon_Core
"Authorization hard decline","Ödeme onayı sert red",Amazon_Core
"Authorization timed out","Yetkilendirme zaman aşımına uğradı",Amazon_Core
"Unable to import Amazon keys. Please verify your JSON format and values.","Amazon anahtarları içe aktarılamıyor. Lütfen JSON biçiminizi ve değerlerinizi doğrulayın.",Amazon_Core
"If you're experiencing consistent errors with transferring keys, click <a href=""%1"" target=""_blank"">Manual Transfer Instructions</a> to learn more.","Anahtar aktarma konusunda sürekli aynı hataları yaşıyorsanız, daha fazla bilgi edinmek için <a href=""%1"" target=""_blank""> Manuel Aktarma Talimatları </a> 'nı tıklayın.",Amazon_Core
"Login and Pay with Amazon is now enabled.","Amazon ile giriş yapma ve ödeme özellikleri artık etkin.",Amazon_Core
Immediate,Hemen,Amazon_Core
Automatic,Otomatik,Amazon_Core
Gold,Altın,Amazon_Core
"Light Gray","Açık Gri",Amazon_Core
"Dark Gray","Koyu Gri",Amazon_Core
Small,Küçük,Amazon_Core
Medium,Orta,Amazon_Core
Large,Büyük,Amazon_Core
"Extra Large","Çok Geniş",Amazon_Core
"Login with Amazon / Amazon Pay","Amazon veya Amazon Ödeme ile Giriş Yap",Amazon_Core
"Login / Pay","Giriş / Ödeme",Amazon_Core
"Amazon Pay Logo","Amazon Ödeme Logosu",Amazon_Core
"Charge on Shipment","Teslimat Eklenince Ödeme",Amazon_Core
"Charge on Order","Sipariş Esnasında Ödeme",Amazon_Core
"-- Please Select --","-- Lütfen Seçiniz --",Amazon_Core
"Euro Region","Avrupa Bölgesi",Amazon_Core
"United Kingdom",İngiltere,Amazon_Core
"United States",A.B.D.,Amazon_Core
Japan,Japonya,Amazon_Core
"Data Polling via Cron Job","Cron Job ile Veri Toplama",Amazon_Core
"Instant Payment Notifications","Anında Ödeme Bildirimleri",Amazon_Core
"An unsupported currency is currently selected. Please review our configuration guide.","Şu anda desteklenmeyen bir para birimi seçildi. Lütfen yapılandırma kılavuzumuzu inceleyin.",Amazon_Core
"More Information","Detaylı Bilgi",Amazon_Core
"You will be registering for a %1 account based on the base currency of your shop (%2).","Mağazanızın temel para birimine (%2) dayalı olarak %1 hesap açacaksınız.",Amazon_Core
"Get started with account registration","Hesap kayıt işlemine başlayın",Amazon_Core
or,"veya ",Amazon_Core
"I've already setup Pay with Amazon, I want to edit my settings","Amazon Ödeme kurulumunu yaptım, ayarlarımı düzenlemek istiyorum",Amazon_Core
"""In order to enable automatic account configuration using Amazon's secure key "" . 'exchange, please turn on secure admin pages in General > Web > Use secure URLs in Admin.'","Amazon'un güvenli anahtarını kullanarak otomatik hesap yapılandırmasını etkinleştirmek için lütfen Genel > Web > ""Yönetici’de güvenli URL’ler kullan"" özelliğini açınız.",Amazon_Core
"Updating your config with new keys, please wait...","Yapılandırmanızı yeni anahtarlarla güncellemek için lütfen bekleyiniz ...",Amazon_Core
"Paste JSON credentials here","JSON kimlik bilgilerini buraya yapıştırın",Amazon_Core
"Save Credentials","Kimlik Bilgilerini Kaydet",Amazon_Core
